Id,LookupId,Number,Aircraft_RegistrationNumber,StartDate,EndDate,StartTime,EndTime,Status_Name,TermsAndConditions,Created,LastUpdated,IsActive,Notes,EstimatedInventoryCostSubTotal,EstimatedLaborCostSubTotal,EstimatedAdditionalCostSubTotal,EstimatedTotalCost,ActualInventoryCostSubTotal,ActualLaborCostSubTotal,ActualAdditionalCostSubTotal,ActualTotalCost,OpenLineItemCount,InReviewLineItemCount,RequireSignatureLineItemCount,ClosedLineItemCount,LineItemCount,EstimatedHours,CompletedHours,RemainingHours,ClosedLineItemPercent,CompletedHoursPercent,ContactName,ContactEmail,ContactPhone,ReferenceField,FlightDocsURL
132627,88b87f98-aaf5-42bd-aa71-cc49b3d05108,WO863-1-16-23CW,N863JS,2023-02-02,2023-02-06,,,Canceled,,2023-01-29T00:46:54.71Z,2023-01-29T00:50:16.643761Z,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,,,,SCHEDULED MX,https://app2.flightdocs.com/#/work-orders/work-order/detail/132627
137253,ffb8b12e-0973-4697-b97c-da0bb4dc309b,WO859-4-22-23JL,N859JS,2023-04-22,2023-04-24,,,Draft,,2023-03-20T00:36:01.427Z,2023-03-20T00:43:53.1566594Z,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0,0,0,6,0.0,0.0,0.0,0,0,,,,SCHED MX,https://app2.flightdocs.com/#/work-orders/work-order/detail/137253
134508,f85ece03-8349-4c0b-84b6-9615404fa359,WO859-2-26-23BS,N859JS,2023-02-20,2023-02-24,2023-02-21T04:59:00Z,,Closed,,2023-02-18T01:33:42.94Z,2023-03-21T15:09:58.3130458Z,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,103,103,,,,100,0,,,,SCHED MX,https://app2.flightdocs.com/#/work-orders/work-order/detail/134508
135452,d559210a-66a9-4ce2-ac95-dffaadde3ccd,WO856-3-31-23CW,N856JS,2023-03-31,,,,Draft,,2023-02-28T17:09:29.463Z,2023-03-02T00:01:02.1696584Z,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,0,0,9,0.0,0.0,0.0,0,0,,,,SCHEDULED MX,https://app2.flightdocs.com/#/work-orders/work-order/detail/135452
134824,56038f37-2cd3-4211-aa22-287402e80ea8,WO856-2-21-23JL,N856JS,2023-02-21,2023-02-23,2023-02-22T01:21:00Z,2023-02-24T01:21:00Z,Closed,,2023-02-22T01:20:35.447Z,2023-02-27T17:21:33.4043172Z,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,14,14,,,,100,0,,,,SCHED MX ISO,https://app2.flightdocs.com/#/work-orders/work-order/detail/134824
137348,c983f404-282b-4044-99ca-75f4e461295f,WO855-3-20-23SY,N855JS,2023-03-20,2023-03-23,2023-03-21T00:00:00Z,2023-03-24T03:59:00Z,In Progress,,2023-03-20T16:46:50.353Z,2023-03-24T02:14:44.2308032Z,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0,1,6,0.0,0.0,0.0,16,0,,,,SCHED MX,https://app2.flightdocs.com/#/work-orders/work-order/detail/137348
137251,63318459-2376-45b9-b53d-df7fe7059600,WO853-4-27-23JL,N853JS,2023-04-27,2023-04-28,,,Draft,,2023-03-20T00:20:52.443Z,2023-03-20T00:23:41.000991Z,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,0,0,9,0.0,0.0,0.0,0,0,,,,SCHED MX,https://app2.flightdocs.com/#/work-orders/work-order/detail/137251
135326,f51126c6-a68c-4237-bede-274218d0be8b,WO852-3-26-23CW,N852JS,2023-03-26,2023-04-08,,,Draft,,2023-02-27T20:03:59.613Z,2023-03-21T15:57:58.8587103Z,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,0,0,0,27,,0.0,,0,0,,,,SCHED MX,https://app2.flightdocs.com/#/work-orders/work-order/detail/135326
137444,a3c12087-0c21-4a29-ad84-3570ff982010,WO852-3-21-23GR,N852JS,2023-03-21,,,,Closed,,2023-03-21T15:58:52.77Z,2023-03-23T09:50:04.5106764Z,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4,4,,,,100,0,,,,SCHEDULED MX,https://app2.flightdocs.com/#/work-orders/work-order/detail/137444
136680,a8ab1325-9918-4232-a65f-050eb3990210,WO852-3-13-23SY,N852JS,2023-03-13,2023-03-14,2023-03-13T21:00:00Z,2023-03-14T12:00:00Z,Closed,,2023-03-13T21:42:05.153Z,2023-03-14T15:58:37.2249292Z,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4,4,,,,100,0,,,,SCHED MX - MSU,https://app2.flightdocs.com/#/work-orders/work-order/detail/136680
